"release_year","release_month","total_games"
"2024","10","258"
"2020","10","241"
"2024","9","233"
"2024","5","231"
"2025","4","230"
"2018","5","216"
"2017","10","209"
"2023","11","208"
"2022","9","207"
"2025","5","207"
"2024","11","206"
"2025","1","206"
"2016","4","205"
"2023","10","205"
"2024","8","203"
"2024","7","201"
"2017","9","200"
"2016","8","199"
"2016","10","197"
"2018","3","197"
"2021","9","197"
"2022","3","197"
"2018","9","196"
"2020","8","196"
"2024","3","196"
"2019","10","195"
"2021","10","195"
"2024","4","194"
"2024","2","193"
"2017","8","192"
"2020","6","192"
"2016","12","191"
"2023","4","190"
"2016","9","187"
"2017","5","186"
"2018","2","186"
"2024","12","186"
"2017","12","185"
"2019","5","184"
"2021","3","183"
"2025","3","183"
"2020","5","182"
"2023","8","182"
"2024","6","182"
"2020","11","180"
"2016","3","179"
"2021","8","178"
"2017","2","176"
"2018","4","176"
"2020","4","175"
"2020","7","175"
"2022","10","172"
"2023","9","172"
"2017","3","171"
"2018","11","171"
"2017","7","170"
"2019","8","170"
"2020","9","170"
"2020","12","170"
"2023","2","170"
"2016","11","169"
"2017","4","167"
"2018","8","167"
"2019","11","167"
"2024","1","167"
"2018","7","166"
"2023","5","166"
"2021","11","165"
"2020","2","164"
"2016","6","163"
"2017","11","163"
"2022","11","162"
"2016","7","161"
"2021","6","161"
"2023","7","161"
"2018","10","160"
"2021","1","160"
"2021","12","160"
"2023","3","160"
"2021","4","159"
"2018","1","157"
"2022","7","157"
"2022","8","156"
"2019","4","155"
"2021","2","155"
"2023","6","152"
"2023","1","151"
"2016","5","149"
"2022","5","149"
"2019","9","148"
"2023","12","148"
"2019","12","147"
"2021","7","146"
"2025","2","146"
"2019","2","143"
"2019","6","143"
"2020","3","143"
"2019","3","141"
"2021","5","141"
"2019","7","140"
"2022","6","139"
"2022","12","138"
"2018","6","136"
"2022","1","136"
"2022","4","136"
"2016","2","135"
"2019","1","135"
"2018","12","131"
"2020","1","130"
"2017","1","127"
"2016","1","124"
"2022","2","119"
"2017","6","117"
"2025","11","34"
"2025","6","33"
"2025","8","33"
"2025","7","32"
"2025","9","32"
"2025","10","25"
"2025","12","17"