"release_year","genre","total_games","pct_free_games","avg_price_paid","avg_reviews","avg_playtime_hours","demand_per_game"
"2025","Indie","813","2.21","9.27","1844","632.30","1844.20"
"2025","Adventure","529","2.65","11.07","2587","734.19","2587.24"
"2025","Action","498","3.01","11.16","4268","475.00","4268.26"
"2025","Simulation","452","1.99","10.81","2397","917.82","2396.63"
"2025","RPG","385","3.64","12.67","3072","1122.46","3072.29"
"2025","Casual","383","3.39","8.21","1304","854.12","1304.26"
"2025","Strategy","321","2.80","11.45","2124","589.45","2123.79"
"2025","Sports","53","1.89","13.10","1471","663.45","1471.28"
"2025","Massively Multiplayer","41","19.51","7.51","5170","1461.00","5169.59"
"2025","Racing","41","2.44","14.53","6075","587.05","6075.10"
"2025","Free To Play","38","76.32","7.02","2413","741.00","2413.26"
"2024","Indie","1670","5.81","7.66","2625","443.64","2624.63"
"2024","Adventure","1148","4.44","9.02","4818","510.30","4818.24"
"2024","Action","1032","5.62","9.51","6727","466.62","6727.42"
"2024","Casual","792","8.21","6.71","1485","637.13","1485.30"
"2024","Simulation","728","3.57","9.34","3832","753.49","3832.21"
"2024","RPG","718","5.15","9.69","5730","741.21","5730.03"
"2024","Strategy","576","5.56","9.80","3405","706.19","3405.26"
"2024","Free To Play","120","95.00","7.74","4483","1163.29","4483.03"
"2024","Sports","94","5.32","12.20","2284","925.66","2283.80"
"2024","Racing","69","4.35","9.64","1764","521.81","1764.01"
"2024","Massively Multiplayer","57","36.84","11.17","11079","1230.42","11078.74"
"2023","Indie","1401","6.14","6.82","2650","492.55","2649.57"
"2023","Adventure","961","5.72","7.90","4937","643.93","4936.86"
"2023","Action","901","5.99","8.00","5277","480.38","5277.22"
"2023","Casual","677","6.65","5.93","1956","580.40","1956.37"
"2023","RPG","602","4.82","9.01","5473","748.54","5472.99"
"2023","Simulation","569","7.38","8.89","3260","778.34","3260.28"
"2023","Strategy","486","6.38","8.78","3909","900.54","3909.16"
"2023","Free To Play","86","96.51","6.49","3720","596.42","3719.51"
"2023","Sports","75","8.00","10.60","3300","1253.88","3300.24"
"2023","Massively Multiplayer","54","42.59","7.63","6366","970.46","6365.76"
"2023","Racing","53","1.89","7.89","988","379.68","988.36"
"2022","Indie","1215","6.75","6.49","2710","455.12","2709.60"
"2022","Adventure","864","5.09","7.54","4088","598.12","4087.70"
"2022","Action","785","8.15","7.89","7149","446.65","7149.35"
"2022","Casual","607","6.75","5.52","2070","552.44","2069.61"
"2022","Simulation","530","4.91","8.38","3633","1149.19","3632.98"
"2022","RPG","481","5.41","9.07","7176","894.16","7176.04"
"2022","Strategy","439","6.83","8.63","3310","1069.33","3310.49"
"2022","Sports","88","9.09","10.29","3271","2636.83","3271.24"
"2022","Free To Play","86","98.84","0.99","6502","583.44","6501.51"
"2022","Racing","63","7.94","9.20","2263","452.71","2262.81"
"2022","Massively Multiplayer","54","44.44","7.77","9151","1659.15","9150.61"
"2021","Indie","1389","13.03","5.72","3045","779.70","3044.60"
"2021","Adventure","978","10.33","6.18","4277","1057.04","4276.63"
"2021","Action","818","13.81","6.89","6153","472.72","6153.45"
"2021","Casual","680","15.88","4.80","2180","1203.26","2180.07"
"2021","Simulation","548","13.14","7.67","4397","1070.12","4396.59"
"2021","RPG","532","12.03","7.91","4703","1825.08","4703.34"
"2021","Strategy","392","13.01","8.33","3705","814.89","3705.09"
"2021","Free To Play","186","100.00","","8005","600.46","8004.73"
"2021","Sports","83","19.28","9.78","7202","1442.29","7201.82"
"2021","Racing","73","17.81","8.49","8614","506.33","8614.40"
"2021","Massively Multiplayer","61","60.66","10.58","21353","988.33","21352.74"
"2020","Indie","1547","23.34","5.29","3630","390.79","3630.26"
"2020","Adventure","980","21.73","5.66","5324","472.02","5323.90"
"2020","Action","869","23.01","6.22","10243","502.16","10242.92"
"2020","Casual","741","27.53","4.75","3028","476.83","3028.11"
"2020","Simulation","556","15.65","7.05","3392","697.44","3391.84"
"2020","RPG","497","19.52","6.84","6459","909.04","6458.70"
"2020","Strategy","460","18.04","7.09","3703","803.82","3703.15"
"2020","Free To Play","371","99.46","9.74","5861","552.66","5861.25"
"2020","Sports","118","22.03","8.22","7609","707.78","7609.40"
"2020","Racing","94","20.21","5.59","3405","265.51","3405.41"
"2020","Massively Multiplayer","86","54.65","7.20","13683","1149.84","13683.01"
"2019","Indie","1342","21.24","5.43","2808","453.38","2807.61"
"2019","Adventure","835","17.96","5.93","4706","617.46","4705.67"
"2019","Action","738","19.24","6.40","7530","500.08","7530.20"
"2019","Casual","598","22.41","4.56","2250","630.37","2249.83"
"2019","Simulation","458","15.07","6.74","3860","1429.20","3859.51"
"2019","RPG","428","21.50","6.45","2668","975.67","2668.10"
"2019","Strategy","396","20.71","6.91","3781","1443.27","3780.63"
"2019","Free To Play","293","99.32","7.94","5086","1415.86","5086.41"
"2019","Massively Multiplayer","90","57.78","8.14","3106","2579.21","3106.11"
"2019","Sports","88","20.45","7.43","2943","1048.61","2942.91"
"2019","Racing","72","20.83","6.69","3709","1008.00","3709.13"
"2018","Indie","1476","18.29","4.67","4216","547.31","4215.60"
"2018","Adventure","857","15.64","5.02","7035","518.02","7034.52"
"2018","Action","834","16.43","5.58","8485","520.75","8485.46"
"2018","Casual","735","20.27","3.50","3253","586.20","3253.08"
"2018","Simulation","490","17.35","6.20","4724","1125.32","4723.50"
"2018","RPG","432","18.06","5.95","7195","1017.91","7194.52"
"2018","Strategy","409","22.25","5.94","5338","1001.83","5338.12"
"2018","Free To Play","273","98.90","0.52","3795","973.90","3794.68"
"2018","Massively Multiplayer","102","66.67","7.96","26874","2071.56","26874.46"
"2018","Sports","95","12.63","6.30","1805","861.39","1805.25"
"2018","Racing","80","13.75","5.43","2771","395.40","2771.45"
"2017","Indie","1456","16.14","4.02","3615","509.61","3614.63"
"2017","Action","891","18.29","4.87","10018","585.17","10017.62"
"2017","Adventure","869","13.92","4.62","8694","557.04","8694.38"
"2017","Casual","745","18.26","3.42","2888","420.28","2888.33"
"2017","Simulation","459","17.65","5.90","4127","713.40","4127.46"
"2017","Strategy","419","22.20","5.09","3520","953.63","3520.09"
"2017","RPG","345","23.48","6.32","7142","819.44","7142.27"
"2017","Free To Play","257","98.83","1.41","20130","1187.68","20129.96"
"2017","Sports","99","25.25","7.97","7358","1190.34","7357.68"
"2017","Massively Multiplayer","91","78.02","5.16","48270","1878.00","48270.31"
"2017","Racing","66","18.18","6.88","3138","690.05","3138.05"
"2016","Indie","1439","14.73","3.85","3255","464.54","3254.83"
"2016","Action","872","13.07","4.21","5493","598.77","5493.38"
"2016","Adventure","838","14.68","4.57","4354","727.47","4354.41"
"2016","Casual","713","17.53","3.30","2027","508.58","2027.48"
"2016","Simulation","414","15.94","5.88","7535","689.84","7534.65"
"2016","Strategy","410","18.05","5.21","5798","747.50","5797.67"
"2016","RPG","355","19.44","4.60","8539","775.96","8538.98"
"2016","Free To Play","206","100.00","","2920","875.00","2919.54"
"2016","Sports","103","16.50","7.10","1291","403.10","1290.84"
"2016","Racing","71","11.27","4.52","1877","543.06","1877.25"
"2016","Massively Multiplayer","68","64.71","5.81","5650","1908.38","5650.01"