"price_category","success_tier","total_games","avg_price","min_price","max_price","avg_owners","avg_review_score","avg_positive_reviews","avg_playtime_hours"
"Free","Mega Hit","28","0.00","0.00","0.00","22630814","90.74","143432","3507.35"
"Free","Hit","53","0.00","0.00","0.00","6625337","86.75","59932","2590.25"
"Free","Strong Success","109","0.00","0.00","0.00","5344452","83.04","27625","2898.64"
"Free","Success","272","0.00","0.00","0.00","2359543","81.79","5428","1495.95"
"Free","Moderate Success","377","0.00","0.00","0.00","1607570","77.41","6368","1351.86"
"Free","Small Success","1042","0.00","0.00","0.00","384885","77.20","961","604.10"
"Free","Niche","576","0.00","0.00","0.00","1032432","72.86","7012","547.40"
"Free","Struggling","254","0.00","0.00","0.00","649363","46.45","1540","691.46"
"Low ($5-$15)","Mega Hit","72","9.78","5.09","14.99","12028651","93.37","220415","2708.42"
"Budget (<$5)","Mega Hit","62","3.51","0.89","4.99","7800773","92.35","113467","2621.54"
"Premium ($30-$60)","Mega Hit","12","42.40","34.99","59.99","25000000","94.81","386951","5515.88"
"Mid ($15-$30)","Mega Hit","36","22.52","15.74","29.99","17267442","91.03","202192","5149.31"
"Budget (<$5)","Hit","98","3.58","0.49","4.99","2439124","89.22","28192","902.76"
"Low ($5-$15)","Hit","165","9.18","5.24","14.99","3332411","89.42","41235","1849.58"
"Premium ($30-$60)","Hit","9","39.16","33.49","49.99","2490385","87.69","33896","2429.60"
"Mid ($15-$30)","Hit","41","21.35","15.99","29.99","3689139","90.52","64137","2424.53"
"Mid ($15-$30)","Strong Success","73","20.54","15.49","29.99","1503587","87.42","21322","3043.62"
"Premium ($30-$60)","Strong Success","13","41.77","31.99","59.99","4394265","85.79","67365","2303.07"
"Budget (<$5)","Strong Success","227","3.23","0.49","4.99","1167923","86.78","9295","1744.31"
"Low ($5-$15)","Strong Success","241","9.58","5.24","14.99","1286380","87.59","15093","1431.27"
"AAA (>$60)","Success","1","69.99","69.99","69.99","1000000","73.02","11826","3288.00"
"Low ($5-$15)","Success","553","9.71","5.09","14.99","623128","86.30","5262","1214.49"
"Budget (<$5)","Success","624","2.85","0.49","4.99","608254","84.70","4213","678.26"
"Mid ($15-$30)","Success","143","21.07","15.19","29.99","1225570","85.59","8817","1847.86"
"Premium ($30-$60)","Success","17","45.63","31.49","59.99","1000000","82.55","10300","1844.42"
"Budget (<$5)","Moderate Success","873","2.57","0.49","4.99","260423","81.53","1436","412.06"
"Low ($5-$15)","Moderate Success","611","9.56","5.00","14.99","297986","83.32","2710","1060.22"
"Mid ($15-$30)","Moderate Success","184","20.99","15.19","29.99","384197","81.76","3728","1380.48"
"AAA (>$60)","Moderate Success","1","69.99","69.99","69.99","200000","75.80","1654","2143.00"
"Premium ($30-$60)","Moderate Success","21","44.57","31.99","59.99","18592949","77.13","40548","6123.40"
"AAA (>$60)","Small Success","4","69.93","67.99","69.99","55882","81.96","734","3035.59"
"Mid ($15-$30)","Small Success","415","20.38","15.04","29.99","91096","82.04","1056","923.72"
"Budget (<$5)","Small Success","3398","2.54","0.49","4.99","80883","80.83","482","440.67"
"Premium ($30-$60)","Small Success","39","41.05","30.39","59.99","178662","79.48","1656","3087.24"
"Low ($5-$15)","Small Success","2035","9.51","5.08","14.99","80533","82.93","659","527.46"
"AAA (>$60)","Niche","10","96.13","69.99","269.99","608119","70.43","5669","3125.60"
"Budget (<$5)","Niche","3339","2.63","0.49","4.99","45348","81.46","303","331.98"
"Mid ($15-$30)","Niche","454","20.32","15.00","29.99","106799","79.43","985","1021.38"
"Low ($5-$15)","Niche","2145","9.59","5.09","14.99","25893","83.13","248","352.36"
"Premium ($30-$60)","Niche","63","42.02","31.49","59.99","4275997","75.78","12235","1374.70"
"AAA (>$60)","Struggling","3","69.99","69.99","69.99","3592308","52.49","14732","5192.62"
"Low ($5-$15)","Struggling","251","10.34","5.00","14.99","266042","45.20","2151","697.28"
"Budget (<$5)","Struggling","679","2.15","0.49","4.99","161015","45.34","332","528.60"
"Mid ($15-$30)","Struggling","87","21.89","15.99","29.99","168766","43.99","1082","503.83"
"Premium ($30-$60)","Struggling","18","46.10","34.99","59.99","726951","45.56","6745","3431.00"